sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ITA","Italy","2013","2013",154.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2000","2000",90.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2001","2001",89.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2002","2002",88.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2003","2003",88.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2004","2004",90.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2005","2005",90.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2006","2006",89.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2007","2007",89,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2008","2008",88.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2009","2009",85.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2010","2010",87.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2011","2011",87.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2012","2012",87.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","JPN","Japan","2013","2013",86.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2000","2000",78.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2001","2001",75.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2002","2002",78.1,,
